,Product_Name,Product_Price,rating,Reviews,Product_URL
0,"uppercase Medium 23 Ltrs Tall Boy (14.6 inch) Laptop Backpack 2500EBP1 3x more water resistant sustainable bag with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty",169,4.0 out of 5 stars,240,/sspa/click?ie=UTF8&spc=MTo4OTAxNTc3OTc5ODcxODk5OjE2ODg3OTMwNzc6c3BfYXRmOjIwMDY1NTMzNjg0Njk4OjowOjo&url=%2FPOLICE-ltrs-cms-backpack-PTO020008_1_black%2Fdp%2FB0B81YTTWS%2Fref%3Dsr_1_1_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1688793077%26sprefix%3Dba%252Caps%252C283%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
1,"uppercase Laptop Backpack Printed Compact 3x more water repellent sustainable bags with rain proof zippers for Men, Women, Boys & Girls, 750 Days warranty (Blue)",399,4.0 out of 5 stars,95,/sspa/click?ie=UTF8&spc=MTo4OTAxNTc3OTc5ODcxODk5OjE2ODg3OTMwNzc6c3BfYXRmOjMwMDAwNTkxNzkwODkzMjo6MDo6&url=%2Fuppercase-Backpack-1800EBP2-resistant-sustainable%2Fdp%2FB0BQYJ8WP5%2Fref%3Dsr_1_2_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1688793077%26sprefix%3Dba%252Caps%252C283%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
2,Skybags Brat Black 46 Cms Casual Backpack,162,4.1 out of 5 stars,"5,013",/Skybags-Brat-Black-Casual-Backpack/dp/B08Z1HHHTD/ref=sr_1_3?crid=2M096C61O4MLT&keywords=bags&qid=1688793077&sprefix=ba%2Caps%2C283&sr=8-3
3,American Tourister 32 Ltrs Black Casual Backpack (AMT FIZZ SCH BAG 02 - BLACK),"1,700",4.0 out of 5 stars,"55,195",/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M/ref=sr_1_4?crid=2M096C61O4MLT&keywords=bags&qid=1688793077&sprefix=ba%2Caps%2C283&sr=8-4
4,"American Tourister VALEX BLACK LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER","1,350",4.3 out of 5 stars,422,/American-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4S4XF/ref=sr_1_5?crid=2M096C61O4MLT&keywords=bags&qid=1688793077&sprefix=ba%2Caps%2C283&sr=8-5
5,"Sirona Sanitary Disposal Bags | 75 Bags | Pad Disposable Bags, Plastic Disposable Bags, for Discreet Disposal of Tampons, Condoms, Diaper, Sanitary Pads, Panty Liner & Personal Hygiene Waste (Green)",599,4.5 out of 5 stars,"2,897",https://aax-eu.amazon.in/x/c/RAaX7Pjdnzd7x4TSXhBOTtkAAAGJM-lXjQMAAAH2AQBvbm9fdHhuX2JpZDIgICBvbm9fdHhuX2ltcDEgICAzJ2BS/https://www.amazon.in/Sirona-Sanitary-Napkin-Diapers-Disposal/dp/B01NAZVN8M/ref=sxin_17_sbv_search_btf?content-id=amzn1.sym.ea7f11f8-e26c-4b10-84ad-15aa33ea30ac%3Aamzn1.sym.ea7f11f8-e26c-4b10-84ad-15aa33ea30ac&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B01NAZVN8M&pd_rd_r=31d6a38f-c065-44b4-9886-521d2b786e04&pd_rd_w=AFugA&pd_rd_wg=7m9RD&pf_rd_p=ea7f11f8-e26c-4b10-84ad-15aa33ea30ac&pf_rd_r=5JJWRZG4SMGQP8Y8WYHE&qid=1688793077&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-1-9131241a-a358-4619-a7b8-0f5a65d91d81
6,Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue & black),"1,199",4.3 out of 5 stars,"11,570",/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF/ref=sr_1_6?crid=2M096C61O4MLT&keywords=bags&qid=1688793077&sprefix=ba%2Caps%2C283&sr=8-6
7,Gear Classic 20L Faux Leather Water Resistant Anti Theft Laptop Bag/Backpack for Men/Women-Brown,"1,299",4.4 out of 5 stars,"5,857",/Gear-Classic-Leather-Backpack-LBPCLSLTH0201/dp/B07G4F6XFH/ref=sr_1_7?crid=2M096C61O4MLT&keywords=bags&qid=1688793077&sprefix=ba%2Caps%2C283&sr=8-7
8,"Half Moon 35L Water Resistant 15.6 inch Laptop Bag for Men/Backpack for Men, Navy Blue | Office Bag for Men/Office Bag for Women with Padded Laptop Compartment | Rain Cover & Reflective Strips",225,3.9 out of 5 stars,"16,390",/Half-Moon-Waterproof-Backpack-Students/dp/B085MHDJ93/ref=sr_1_8?crid=2M096C61O4MLT&keywords=bags&qid=1688793077&sprefix=ba%2Caps%2C283&sr=8-8
9,ADISA 15.6 inch Laptop Backpack Office Bag College Travel Back Pack 32 Ltrs (z-Navy Blue),550,3.9 out of 5 stars,961,/ADISA-Laptop-Backpack-Office-College/dp/B09TPX22NF/ref=sr_1_9?crid=2M096C61O4MLT&keywords=bags&qid=1688793077&sprefix=ba%2Caps%2C283&sr=8-9
10,Gear Aspire 30L Water Restant Office Laptop Bag/Backpack for Men/Women/(Black),988,4.4 out of 5 stars,"5,780",/Gear-Black-Laptop-Backpack-LBPASPIRE0104/dp/B075MK4TXP/ref=sr_1_10?crid=2M096C61O4MLT&keywords=bags&qid=1688793077&sprefix=ba%2Caps%2C283&sr=8-10
11,Fur Jaden Navy Casual Backpack with USB Charging Port and 15.6 Inch Laptop Pocket,649,3.9 out of 5 stars,"3,649",/sspa/click?ie=UTF8&spc=MTo4OTAxNTc3OTc5ODcxODk5OjE2ODg3OTMwNzc6c3BfbXRmOjIwMDE4ODIzNDQyNTAxOjowOjo&url=%2FFur-Jaden-Waterproof-Charging-BM30_Navy%2Fdp%2FB07G4G3NPD%2Fref%3Dsr_1_11_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1688793077%26sprefix%3Dba%252Caps%252C283%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
12,Half Moon Strike 35L Unisex Spacious School/Laptop/College/Office Travel Backpack Bag for Men Women Boys & Girls with 15.6 inch Padded Laptop Compartment & Multiple Pockets,499,3.8 out of 5 stars,540,/sspa/click?ie=UTF8&spc=MTo4OTAxNTc3OTc5ODcxODk5OjE2ODg3OTMwNzc6c3BfbXRmOjIwMDkzNzA3ODA4Nzk4OjowOjo&url=%2FHalf-Moon-Resistant-Backpack-Compartment%2Fdp%2FB0BLVQ9NTD%2Fref%3Dsr_1_12_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1688793077%26sprefix%3Dba%252Caps%252C283%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
